Log,Key Phrases,Cluster,Root Cause
DF Runtime Exception during retrieveDataError Code: 3050Exception Message:CACHE_ONLY_REQUEST flag enabled and there is no full match with the requested selection in cache.,"group level item rules,errorMessage,groupLevelId,CDM",1,group level item
"Exception in Datamatics sync feign.FeignException$InternalServerError: [500] during [POST] to [http://10.210.133.132/ap/pir/v0/asb/test/queue/ocr/response] [PirAsbServiceFeignClient#pushOcrResponse(String)]: [{""timestamp"":1728205855545,""status"":500,""error"":""Internal Server Error"",""message"":"""",""path"":""/pir/v0/asb/test/queue/ocr/response""}]","1 (size=1KB) traces,processor,WARN,writer,ddagent,Error,ConnectException,datadog-agent,5 minutes",3,"1 (size=1KB) traces,processor,WARN,writer,ddagent,Error,ConnectException,datadog-agent,5"
"{errorMessage=Error while calling Security CatalogFor dataset id 198874 dataViewId OrderId_2390 not found or not entitled to, status=ERROR}",wallet,0,wallet
Unable to create the wallet,wallet,0,wallet
Receiving empty or null Map of inactive version and master ids from DMDS,wallet,0,wallet
Unable to create the wallet,"filter objectRefId,Error Code,3001Exception Message,dataItem Label,ErrorInfos,Periods,FilterValues,Months",2,"filter Code,3001Exception objectRefId,Error"
"<0.121935099.0> operation none caused a connection exception connection_forced: ""broker forced connection closure with reason 'shutdown'""","group level item rules,groupLevelId,CDM",1,group level item
DF Runtime Exception during retrieveDataError Code: 3050Exception Message:CACHE_ONLY_REQUEST flag enabled and there is no full match with the requested selection in cache.,"filter objectRefId,Error Code,3001Exception Message,dataItem Label,ErrorInfos,Periods,FilterValues,Months",2,"filter Code,3001Exception objectRefId,Error"
DF Runtime Exception during retrieveDataError Code: 3050Exception Message:CACHE_ONLY_REQUEST flag enabled and there is no full match with the requested selection in cache.,wallet,0,wallet
"org.springframework.web.client.HttpServerErrorException$InternalServerError: 500 : ""<Map><timestamp>2024-10-06T08:49:44.264+00:00</timestamp><status>500</status><error>Internal Server Error</error><path>/api/v2/schedulers/data</path></Map>""","profile Status,502 Bad Gateway,trace,datadog,WARN,uploader,errors,5 minutes",4,"No Suitable Adapter,137182/"
"Exception in Datamatics sync feign.FeignException$InternalServerError: [500] during [POST] to [http://10.210.133.132/ap/pir/v0/asb/test/queue/ocr/response] [PirAsbServiceFeignClient#pushOcrResponse(String)]: [{""timestamp"":1728204626847,""status"":500,""error"":""Internal Server Error"",""message"":"""",""path"":""/pir/v0/asb/test/queue/ocr/response""}]",wallet,0,wallet
